,index,song,artist,id,MISSING,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
133,1194,Sign Of The Gypsy Queen,April Wine,1OeKaKxGj6kPT0TRCf6KzC,MISSING,0.425,0.738,4,-7.336,0,0.0334,0.0131,0.000255,0.0491,0.475,138.12,258907,4
134,1195,This Could Be The Right One,April Wine,3PWmpUFpLX6WwrBYHIlUp0,MISSING,0.447,0.674,4,-10.435,0,0.0324,0.00485,0.00513,0.0803,0.747,144.742,256107,4
135,1199,Reflektor,Arcade Fire,7uMZy0bALAdneerERyr7Ks,MISSING,0.585,0.717,11,-8.379,0,0.0311,0.0561,0.0148,0.366,0.636,111.563,450984,4
136,1204,Dancing To Your Music,Archie Bell & The Drells,6CP6aBUvs3QuXLHaxJD5Hj,MISSING,0.57,0.625,10,-10.742,1,0.0348,0.0796,0.000771,0.125,0.875,123.551,175427,4
137,1226,Break It To Me Gently,Aretha Franklin,4p1iKQR5GdNXgq1Cf8jSRW,MISSING,0.476,0.521,9,-6.899,0,0.0382,0.482,8.99e-06,0.368,0.527,129.178,203051,4
138,1251,Mr. D.J. (5 For The D.J.),Aretha Franklin,7HXY9MJ75r05K1R1UONVBx,MISSING,0.539,0.881,8,-4.486,1,0.164,0.411,0.000294,0.687,0.767,175.607,267825,4
139,1275,Willing To Forgive,Aretha Franklin,5dgXORGbdQAgXpB4Vzh1ou,MISSING,0.547,0.693,2,-6.802,1,0.0327,0.00265,7.51e-05,0.144,0.434,152.117,252000,4
140,1292,Be Alright,Ariana Grande,1MkFj1ThZZxjYMNkczx9mk,MISSING,0.813,0.456,1,-7.667,0,0.0684,0.169,2.86e-06,0.105,0.587,108.801,179293,4
141,1296,Dangerous Woman,Ariana Grande,6RUhbFEhrvGISaQ8u2j2JN,MISSING,0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,235947,3
142,1305,Into You,Ariana Grande,63y6xWR4gXz7bnUGOk8iI6,MISSING,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,244453,4
143,1347,Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",6zegtH6XXd2PDPLvy1Y0n2,MISSING,0.644,0.755,1,-5.325,1,0.0448,0.00237,7.64e-06,0.0859,0.334,102.861,190067,4
144,1370,Banjo Boy,Art Mooney And His Orchestra,0YhQV106gSMHGnBCZCx1vo,MISSING,0.46,0.384,10,-15.483,1,0.0387,0.812,0.0215,0.112,0.835,157.636,133594,4
145,1374,Every Day I Have To Cry Some,Arthur Alexander,4bXzZjWilnI4uSvAeElStN,MISSING,0.687,0.56,9,-9.82,1,0.0302,0.725,0.386,0.586,0.968,115.322,132697,4
146,1386,Love For Sale,Arthur Lyman Group,5PnRtThBsAgt1pS3vcTZ0x,MISSING,0.455,0.377,5,-13.763,1,0.037,0.328,0.0556,0.199,0.345,150.187,183747,4
147,1387,Yellow Bird,Arthur Lyman Group,1bsz8S6OFpLxUlsNuhPYqx,MISSING,0.552,0.0342,2,-29.519,1,0.0497,0.953,0.828,0.0937,0.67,119.306,164920,4
148,1390,When Love Is New,Arthur Prysock,50ldhKmEBaBROmIIUSDeZr,MISSING,0.727,0.666,5,-9.199,0,0.0441,0.111,0.15,0.141,0.964,114.71,434333,4
149,1394,Forever Country,"Artists Of Then, Now & Forever",3WWVDPjihd1VITBLF10nha,MISSING,0.201,0.684,7,-5.931,1,0.0389,0.401,1.46e-05,0.0954,0.131,90.056,242480,4
150,1395,Just Stand Up!,Artists Stand Up To Cancer,1EiwZsCTu8cGSRdog30oYY,MISSING,0.56,0.958,0,-1.119,1,0.0792,0.174,0,0.705,0.599,176.524,217067,4
